"carro","dono","marca","Estilo","Acabamento","Posição de dirigir","Instrumentos","Interior","Porta-malas","Desempenho","Motor","Câmbio","Freios","Suspensão","Consumo","Estabilidade","Custo-Benefício ","Recomendação"
"Gol",1,"Volkswagen",8,7,9,8,7,7,9,9,10,7,9,10,9,9,9
"Gol",2,"Volkswagen",9,1,8,6,6,6,8,8,9,6,3,0,8,8,7
"Gol",3,"Volkswagen",9,7,7,10,6,6,7,7,10,7,7,7,7,8,8
"Gol",4,"Volkswagen",10,6,6,10,8,5,8,10,10,10,6,8,7,8,8
"Gol",5,"Volkswagen",8,4,7,9,8,7,3,7,7,8,8,5,8,6,7
"Gol",6,"Volkswagen",8,7,5,9,6,8,5,8,9,10,8,9,9,8,7
"Gol",7,"Volkswagen",10,4,6,8,5,4,5,7,10,10,5,7,10,6,9
"Gol",8,"Volkswagen",9,6,7,9,7,7,10,9,8,7,6,7,8,9,8
"Gol",9,"Volkswagen",6,5,6,5,4,6,7,7,7,5,6,6,8,1,0
"Gol",10,"Volkswagen",10,6,4,5,4,3,0,2,10,6,2,0,6,1,0
"Gol",11,"Volkswagen",10,10,10,10,9,8,10,10,10,10,8,7,10,8,9
"Gol",12,"Volkswagen",9,8,7,8,6,6,6,10,9,9,6,9,9,9,9
"Gol",13,"Volkswagen",7,7,5,6,4,6,4,6,7,7,7,8,6,6,6
"Gol",14,"Volkswagen",7,7,6,7,5,4,4,7,8,8,6,7,6,6,7
"Gol",15,"Volkswagen",7,2,2,6,1,5,8,7,4,6,3,8,9,4,4
"Gol",16,"Volkswagen",7,5,6,8,6,2,8,9,9,9,2,9,8,8,7
"Gol",17,"Volkswagen",9,7,9,10,8,7,6,8,8,8,8,8,8,8,8
"Gol",18,"Volkswagen",5,5,7,7,7,7,9,8,9,8,9,10,9,8,8
"Gol",19,"Volkswagen",9,8,9,1,9,7,10,10,10,10,10,9,10,9,9
"Gol",20,"Volkswagen",7,2,7,8,8,5,9,9,9,6,8,8,8,7,7
"Gol",21,"Volkswagen",9,5,6,8,8,7,7,8,8,7,6,9,7,8,9
"Gol",22,"Volkswagen",9,6,7,8,7,8,6,9,7,8,8,10,8,8,8
"Gol",23,"Volkswagen",10,3,5,7,4,2,7,6,5,7,5,7,8,0,6
"Gol",24,"Volkswagen",7,3,3,2,6,5,8,6,8,3,7,6,8,6,4
"Gol",25,"Volkswagen",8,6,9,10,10,9,8,7,9,7,8,6,9,5,6
"Gol",26,"Volkswagen",10,4,7,7,7,8,10,10,8,8,8,10,10,9,10
"Gol",27,"Volkswagen",10,9,9,9,9,8,10,10,9,10,10,10,10,10,10
"Gol",28,"Volkswagen",10,9,9,9,9,8,9,9,10,9,10,9,9,7,9
"Gol",29,"Volkswagen",10,1,6,4,3,8,7,9,9,8,8,5,9,9,4
"Gol",30,"Volkswagen",8,7,9,10,8,6,4,6,6,0,4,5,5,8,0
"Gol",31,"Volkswagen",9,9,9,9,9,7,0,0,9,9,9,3,7,2,1
"Gol",32,"Volkswagen",9,9,8,9,9,9,10,9,10,9,9,9,10,10,10
"Gol",33,"Volkswagen",10,10,10,10,8,6,8,9,10,9,9,9,10,10,10
"Gol",34,"Volkswagen",10,2,7,9,8,6,10,9,10,10,8,0,9,4,8
"Gol",35,"Volkswagen",8,5,6,8,6,5,5,0,7,7,6,9,7,7,3
"Gol",36,"Volkswagen",10,2,5,6,4,2,10,9,10,7,3,10,7,7,7
"Gol",37,"Volkswagen",8,7,8,8,7,5,9,8,9,7,7,7,9,9,9
"Gol",38,"Volkswagen",10,8,8,9,8,6,10,10,10,9,6,10,9,9,9
"Gol",39,"Volkswagen",10,8,8,9,8,6,8,7,8,7,7,9,9,8,8
"Gol",40,"Volkswagen",7,5,8,7,7,7,8,8,8,7,7,7,8,7,7
"Gol",41,"Volkswagen",9,5,7,7,7,7,9,7,7,7,6,7,7,6,7
"Gol",42,"Volkswagen",9,7,8,9,8,7,10,9,9,8,8,10,7,9,9
"Gol",43,"Volkswagen",8,6,8,7,6,5,8,9,9,7,5,8,7,7,7
"Gol",44,"Volkswagen",9,7,9,9,8,8,8,6,8,8,8,8,8,7,7
"Gol",45,"Volkswagen",9,9,10,9,10,9,10,10,10,9,9,10,10,10,10
"Gol",46,"Volkswagen",7,3,5,7,7,2,8,4,7,3,5,2,7,7,4
"Gol",47,"Volkswagen",9,7,9,10,9,9,10,10,10,10,10,10,10,10,10
"Gol",48,"Volkswagen",7,2,5,4,5,3,3,5,4,7,0,5,5,0,3
"Gol",49,"Volkswagen",8,0,9,8,8,8,7,8,8,8,7,7,7,4,5
"Gol",50,"Volkswagen",5,1,7,7,1,5,7,7,0,6,6,1,6,1,1
"Gol",51,"Volkswagen",8,4,7,7,6,7,1,1,7,5,0,0,1,1,2
"Gol",52,"Volkswagen",7,5,6,8,8,8,9,9,8,5,5,6,7,8,9
"Gol",53,"Volkswagen",9,4,4,4,4,4,4,5,6,7,7,3,9,5,3
"Gol",54,"Volkswagen",9,6,9,9,9,8,10,10,10,10,7,9,9,9,10
"Gol",55,"Volkswagen",10,9,10,9,10,10,10,10,9,9,9,9,10,10,10
"Gol",56,"Volkswagen",9,4,9,6,5,5,10,10,10,9,7,8,10,10,9
"Gol",57,"Volkswagen",10,9,0,10,8,8,10,10,10,10,8,10,10,10,10
"Gol",58,"Volkswagen",10,9,9,10,10,7,9,10,10,10,10,10,10,10,10
"Gol",59,"Volkswagen",10,9,10,10,9,7,10,10,10,10,8,9,10,6,10
"Gol",60,"Volkswagen",10,7,7,5,7,8,9,9,8,7,7,7,9,9,10
"Gol",61,"Volkswagen",8,5,7,6,6,4,8,6,8,3,6,5,8,5,6
"Gol",62,"Volkswagen",10,6,9,10,10,8,9,10,10,10,10,9,10,10,9
"Gol",63,"Volkswagen",7,5,7,7,5,3,7,7,7,7,5,7,7,5,5
"Gol",64,"Volkswagen",8,6,7,10,7,7,2,4,7,6,7,5,6,2,1
"Gol",65,"Volkswagen",9,7,8,8,7,8,8,9,9,8,8,9,8,9,9
"Gol",66,"Volkswagen",10,8,5,10,8,8,10,10,10,7,7,10,10,8,10
"Gol",67,"Volkswagen",9,6,9,9,7,5,6,7,9,7,7,5,9,8,6
"Gol",68,"Volkswagen",8,5,7,9,5,5,5,5,7,8,6,4,9,7,5
"Gol",69,"Volkswagen",9,5,7,9,7,8,6,7,9,9,6,6,9,3,3
"Gol",70,"Volkswagen",7,4,3,7,6,4,8,7,7,7,5,8,8,6,2
"Gol",71,"Volkswagen",8,8,8,10,7,7,9,9,10,8,7,8,8,8,9
"Gol",72,"Volkswagen",10,8,10,10,8,8,10,8,8,10,10,10,10,8,10
