"carro","dono","marca","Estilo","Acabamento","Posição de dirigir","Instrumentos","Interior","Porta-malas","Desempenho","Motor","Câmbio","Freios","Suspensão","Consumo","Estabilidade","Custo-Benefício ","Recomendação","indice","Class_NPS"
"Gol",1,"Volkswagen",8,7,9,8,7,7,9,9,10,7,9,10,9,9,9,1,"Promotores"
"Gol",2,"Volkswagen",9,1,8,6,6,6,8,8,9,6,3,0,8,8,7,2,"Passivos"
"Gol",3,"Volkswagen",9,7,7,10,6,6,7,7,10,7,7,7,7,8,8,3,"Passivos"
"Gol",4,"Volkswagen",10,6,6,10,8,5,8,10,10,10,6,8,7,8,8,4,"Passivos"
"Gol",5,"Volkswagen",8,4,7,9,8,7,3,7,7,8,8,5,8,6,7,5,"Passivos"
"Gol",6,"Volkswagen",8,7,5,9,6,8,5,8,9,10,8,9,9,8,7,6,"Passivos"
"Gol",7,"Volkswagen",10,4,6,8,5,4,5,7,10,10,5,7,10,6,9,7,"Promotores"
"Gol",8,"Volkswagen",9,6,7,9,7,7,10,9,8,7,6,7,8,9,8,8,"Passivos"
"Gol",9,"Volkswagen",6,5,6,5,4,6,7,7,7,5,6,6,8,1,0,9,"Detratores"
"Gol",10,"Volkswagen",10,6,4,5,4,3,0,2,10,6,2,0,6,1,0,10,"Detratores"
"Gol",11,"Volkswagen",10,10,10,10,9,8,10,10,10,10,8,7,10,8,9,11,"Promotores"
"Gol",12,"Volkswagen",9,8,7,8,6,6,6,10,9,9,6,9,9,9,9,12,"Promotores"
"Gol",13,"Volkswagen",7,7,5,6,4,6,4,6,7,7,7,8,6,6,6,13,"Detratores"
"Gol",14,"Volkswagen",7,7,6,7,5,4,4,7,8,8,6,7,6,6,7,14,"Passivos"
"Gol",15,"Volkswagen",7,2,2,6,1,5,8,7,4,6,3,8,9,4,4,15,"Detratores"
"Gol",16,"Volkswagen",7,5,6,8,6,2,8,9,9,9,2,9,8,8,7,16,"Passivos"
"Gol",17,"Volkswagen",9,7,9,10,8,7,6,8,8,8,8,8,8,8,8,17,"Passivos"
"Gol",18,"Volkswagen",5,5,7,7,7,7,9,8,9,8,9,10,9,8,8,18,"Passivos"
"Gol",19,"Volkswagen",9,8,9,1,9,7,10,10,10,10,10,9,10,9,9,19,"Promotores"
"Gol",20,"Volkswagen",7,2,7,8,8,5,9,9,9,6,8,8,8,7,7,20,"Passivos"
"Gol",21,"Volkswagen",9,5,6,8,8,7,7,8,8,7,6,9,7,8,9,21,"Promotores"
"Gol",22,"Volkswagen",9,6,7,8,7,8,6,9,7,8,8,10,8,8,8,22,"Passivos"
"Gol",23,"Volkswagen",10,3,5,7,4,2,7,6,5,7,5,7,8,0,6,23,"Detratores"
"Gol",24,"Volkswagen",7,3,3,2,6,5,8,6,8,3,7,6,8,6,4,24,"Detratores"
"Gol",25,"Volkswagen",8,6,9,10,10,9,8,7,9,7,8,6,9,5,6,25,"Detratores"
"Gol",26,"Volkswagen",10,4,7,7,7,8,10,10,8,8,8,10,10,9,10,26,"Promotores"
"Gol",27,"Volkswagen",10,9,9,9,9,8,10,10,9,10,10,10,10,10,10,27,"Promotores"
"Gol",28,"Volkswagen",10,9,9,9,9,8,9,9,10,9,10,9,9,7,9,28,"Promotores"
"Gol",29,"Volkswagen",10,1,6,4,3,8,7,9,9,8,8,5,9,9,4,29,"Detratores"
"Gol",30,"Volkswagen",8,7,9,10,8,6,4,6,6,0,4,5,5,8,0,30,"Detratores"
"Gol",31,"Volkswagen",9,9,9,9,9,7,0,0,9,9,9,3,7,2,1,31,"Detratores"
"Gol",32,"Volkswagen",9,9,8,9,9,9,10,9,10,9,9,9,10,10,10,32,"Promotores"
"Gol",33,"Volkswagen",10,10,10,10,8,6,8,9,10,9,9,9,10,10,10,33,"Promotores"
"Gol",34,"Volkswagen",10,2,7,9,8,6,10,9,10,10,8,0,9,4,8,34,"Passivos"
"Gol",35,"Volkswagen",8,5,6,8,6,5,5,0,7,7,6,9,7,7,3,35,"Detratores"
"Gol",36,"Volkswagen",10,2,5,6,4,2,10,9,10,7,3,10,7,7,7,36,"Passivos"
"Gol",37,"Volkswagen",8,7,8,8,7,5,9,8,9,7,7,7,9,9,9,37,"Promotores"
"Gol",38,"Volkswagen",10,8,8,9,8,6,10,10,10,9,6,10,9,9,9,38,"Promotores"
"Gol",39,"Volkswagen",10,8,8,9,8,6,8,7,8,7,7,9,9,8,8,39,"Passivos"
"Gol",40,"Volkswagen",7,5,8,7,7,7,8,8,8,7,7,7,8,7,7,40,"Passivos"
"Gol",41,"Volkswagen",9,5,7,7,7,7,9,7,7,7,6,7,7,6,7,41,"Passivos"
"Gol",42,"Volkswagen",9,7,8,9,8,7,10,9,9,8,8,10,7,9,9,42,"Promotores"
"Gol",43,"Volkswagen",8,6,8,7,6,5,8,9,9,7,5,8,7,7,7,43,"Passivos"
"Gol",44,"Volkswagen",9,7,9,9,8,8,8,6,8,8,8,8,8,7,7,44,"Passivos"
"Gol",45,"Volkswagen",9,9,10,9,10,9,10,10,10,9,9,10,10,10,10,45,"Promotores"
"Gol",46,"Volkswagen",7,3,5,7,7,2,8,4,7,3,5,2,7,7,4,46,"Detratores"
"Gol",47,"Volkswagen",9,7,9,10,9,9,10,10,10,10,10,10,10,10,10,47,"Promotores"
"Gol",48,"Volkswagen",7,2,5,4,5,3,3,5,4,7,0,5,5,0,3,48,"Detratores"
"Gol",49,"Volkswagen",8,0,9,8,8,8,7,8,8,8,7,7,7,4,5,49,"Detratores"
"Gol",50,"Volkswagen",5,1,7,7,1,5,7,7,0,6,6,1,6,1,1,50,"Detratores"
"Gol",51,"Volkswagen",8,4,7,7,6,7,1,1,7,5,0,0,1,1,2,51,"Detratores"
"Gol",52,"Volkswagen",7,5,6,8,8,8,9,9,8,5,5,6,7,8,9,52,"Promotores"
"Gol",53,"Volkswagen",9,4,4,4,4,4,4,5,6,7,7,3,9,5,3,53,"Detratores"
"Gol",54,"Volkswagen",9,6,9,9,9,8,10,10,10,10,7,9,9,9,10,54,"Promotores"
"Gol",55,"Volkswagen",10,9,10,9,10,10,10,10,9,9,9,9,10,10,10,55,"Promotores"
"Gol",56,"Volkswagen",9,4,9,6,5,5,10,10,10,9,7,8,10,10,9,56,"Promotores"
"Gol",57,"Volkswagen",10,9,0,10,8,8,10,10,10,10,8,10,10,10,10,57,"Promotores"
"Gol",58,"Volkswagen",10,9,9,10,10,7,9,10,10,10,10,10,10,10,10,58,"Promotores"
"Gol",59,"Volkswagen",10,9,10,10,9,7,10,10,10,10,8,9,10,6,10,59,"Promotores"
"Gol",60,"Volkswagen",10,7,7,5,7,8,9,9,8,7,7,7,9,9,10,60,"Promotores"
"Gol",61,"Volkswagen",8,5,7,6,6,4,8,6,8,3,6,5,8,5,6,61,"Detratores"
"Gol",62,"Volkswagen",10,6,9,10,10,8,9,10,10,10,10,9,10,10,9,62,"Promotores"
"Gol",63,"Volkswagen",7,5,7,7,5,3,7,7,7,7,5,7,7,5,5,63,"Detratores"
"Gol",64,"Volkswagen",8,6,7,10,7,7,2,4,7,6,7,5,6,2,1,64,"Detratores"
